time,seconds_elapsed,z,y,x
1788679041948055000,0.039054931640625,9.482755661010742,1.710868239402771,-2.251646041870117
1788679041965336000,0.056336181640625,9.425328254699707,1.765903115272522,-2.280359983444214
1788679041982617300,0.073617431640625,9.391828536987305,1.7467604875564575,-2.3186452388763428
1788679041999898600,0.090898681640625,9.410971641540527,1.6582261323928833,-2.352144718170166
1788679042017180000,0.108179931640625,9.523433685302734,1.557727575302124,-2.359323024749756
1788679042034461200,0.125461181640625,9.482755661010742,1.5170495510101318,-2.3784656524658203
1788679042051742500,0.142742431640625,9.315258979797363,1.581655740737915,-2.4119651317596436
1788679042069023700,0.160023681640625,9.231510162353516,1.667797327041626,-2.447857618331909
1788679042086305000,0.177304931640625,9.267401695251465,1.710868239402771,-2.4095723628997803
1788679042103586300,0.19458642578125,9.308079719543457,1.7060825824737549,-2.328216314315796
1788679042120867300,0.211867431640625,9.384650230407715,1.698904037475586,-2.287538528442383
1788679042138148600,0.229148681640625,9.391828536987305,1.6630117893218994,-2.3018953800201416
1788679042155430000,0.246429931640625,9.322437286376953,1.674975872039795,-2.2947168350219727
1788679042172711200,0.263711181640625,9.41336441040039,1.7228323221206665,-2.2947168350219727
1788679042189992400,0.280992431640625,9.45164966583252,1.7156537771224976,-2.2444677352905273
1788679042207273700,0.298273681640625,9.456435203552246,1.6654045581817627,-2.242074728012085
1788679042224555000,0.315554931640625,9.492327690124512,1.6366907358169556,-2.2851455211639404
1788679042241836000,0.3328359375,9.516255378723145,1.5792629718780518,-2.344966173171997
1788679042259117300,0.350117431640625,9.351150512695312,1.5361921787261963,-2.3162522315979004
1788679042276398600,0.367398681640625,9.265008926391602,1.6199408769607544,-2.3162522315979004
1788679042293679900,0.384679931640625,9.363115310668945,1.6917256116867065,-2.2396819591522217
1788679042310961200,0.401961181640625,9.442078590393066,1.734796404838562,-2.1511476039886475
1788679042328242400,0.419242431640625,9.391828536987305,1.7012969255447388,-2.163111686706543
1788679042345523700,0.436523681640625,9.312865257263184,1.7012969255447388,-2.2540390491485596
1788679042362805000,0.453804931640625,9.370293617248535,1.6701902151107788,-2.289931297302246
1788679042380086000,0.4710859375,9.473184585571289,1.6319050788879395,-2.242074728012085
1788679042397367300,0.4883671875,9.430113792419434,1.6295121908187866,-2.2396819591522217
1788679042414648600,0.505648681640625,9.4061861038208,1.6582261323928833,-2.203789710998535
1788679042431929900,0.522929931640625,9.470791816711426,1.703689694404602,-2.155933141708374
1788679042449211100,0.540211181640625,9.454042434692383,1.765903115272522,-2.1032910346984863
1788679042466492400,0.557492431640625,9.497113227844238,1.7802600860595703,-2.1535403728485107
1788679042483773700,0.574773681640625,9.257830619812012,1.703689694404602,-2.146361827850342
1788679042501055000,0.592054931640625,9.21715259552002,1.6893328428268433,-2.227717876434326
1788679042518336000,0.6093359375,9.31047248840332,1.7012969255447388,-2.187039852142334
1788679042535617300,0.6266171875,9.324830055236816,1.7156537771224976,-2.115255117416382
1788679042552898600,0.643898681640625,9.43489933013916,1.6941183805465698,-2.1200408935546875
1788679042570179800,0.661179931640625,9.363115310668945,1.648654818534851,-2.1104695796966553
1788679042587461000,0.678461181640625,9.255437850952148,1.6510475873947144,-2.1535403728485107
1788679042604742400,0.695742431640625,9.312865257263184,1.6151553392410278,-2.196611166000366
1788679042622023700,0.713023681640625,9.365508079528809,1.5314065217971802,-2.1678972244262695
1788679042639305000,0.730304931640625,9.415757179260254,1.5002998113632202,-2.062613010406494
