time,seconds_elapsed,z,y,x
1788594189329554400,0.161554443359375,7.842731475830078,5.761721134185791,-0.5300164222717285
1788594189339626800,0.171626708984375,7.726163864135742,5.801150798797607,-0.6165069341659546
1788594189349727000,0.18172705078125,7.580940246582031,5.780949592590332,-0.5145289301872253
1788594189359796500,0.19179638671875,7.507169246673584,5.772120952606201,-0.46657004952430725
1788594189369849600,0.201849609375,7.565752029418945,5.771297931671143,-0.4694879949092865
1788594189379946500,0.211946533203125,7.713818550109863,5.779153823852539,-0.48557403683662415
1788594189390002200,0.222002197265625,7.8349504470825195,5.7374796867370605,-0.43851301074028015
1788594189400076500,0.23207666015625,7.960870265960693,5.668646812438965,-0.4321534037590027
1788594189410152400,0.24215234375,8.086715698242188,5.630788326263428,-0.41614219546318054
1788594189420249300,0.252249267578125,8.186972618103027,5.639542102813721,-0.4200327694416046
1788594189430326000,0.262325927734375,8.249297142028809,5.624204158782959,-0.40723875164985657
1788594189440400600,0.272400634765625,8.338930130004883,5.612532615661621,-0.4076128304004669
1788594189450476300,0.282476318359375,8.362497329711914,5.608941078186035,-0.3637690246105194
1788594189460555000,0.292554931640625,8.335638046264648,5.57138204574585,-0.28146833181381226
1788594189470628400,0.30262841796875,8.215778350830078,5.604601860046387,-0.3250128924846649
1788594189480725500,0.3127255859375,8.086490631103516,5.692289352416992,-0.5078700184822083
1788594189490779600,0.322779541015625,7.978452682495117,5.717428684234619,-0.5873275995254517
1788594189500855800,0.332855712890625,7.869067668914795,5.676053524017334,-0.5226841568946838
1788594189510931700,0.342931640625,7.731700420379639,5.696928024291992,-0.4933551847934723
1788594189520985300,0.3529853515625,7.674239635467529,5.7299981117248535,-0.4703109860420227
1788594189531083000,0.3630830078125,7.7854204177856445,5.718850135803223,-0.35815760493278503
1788594189541158700,0.37315869140625,8.006659507751465,5.728875637054443,-0.30279168486595154
1788594189551234600,0.383234619140625,8.132055282592773,5.7258830070495605,-0.31880292296409607
1788594189561310500,0.393310546875,8.187196731567383,5.713986873626709,-0.29403790831565857
1788594189571364600,0.403364501953125,8.22580337524414,5.663932800292969,-0.2861070930957794
1788594189581463600,0.413463623046875,8.25079345703125,5.662885665893555,-0.30526071786880493
1788594189591516000,0.423515869140625,8.204030990600586,5.681889533996582,-0.3181295394897461
1788594189601706000,0.4337060546875,8.117989540100098,5.689895153045654,-0.3034650683403015
1788594189611715600,0.443715576171875,8.062324523925781,5.685181617736816,-0.3404255509376526
1788594189621744600,0.45374462890625,8.004863739013672,5.678073883056641,-0.386813223361969
1788594189631842300,0.46384228515625,7.857769966125488,5.682413101196289,-0.4100818634033203
1788594189641911300,0.473911376953125,7.6933183670043945,5.740771770477295,-0.48317983746528625
1788594189651996700,0.48399658203125,7.638850212097168,5.819631099700928,-0.524330198764801
1788594189662072300,0.494072265625,7.789535045623779,5.8378119468688965,-0.47584760189056396
1788594189672148500,0.5041484375,7.978826999664307,5.808258533477783,-0.40873512625694275
1788594189682223900,0.514223876953125,8.092850685119629,5.744063854217529,-0.38801032304763794
1788594189692299500,0.524299560546875,8.198868751525879,5.6414875984191895,-0.34356793761253357
1788594189702352400,0.534352294921875,8.30750560760498,5.6135053634643555,-0.39309799671173096
1788594189712447500,0.544447509765625,8.403423309326172,5.64687442779541,-0.5365256667137146
1788594189722522600,0.554522705078125,8.400879859924316,5.643507480621338,-0.5783493518829346
1788594189732602400,0.564602294921875,8.221837997436523,5.6438069343566895,-0.5394435524940491
1788594189742666200,0.574666259765625,7.958401203155518,5.617171287536621,-0.43110594153404236
1788594189752750000,0.58475,7.669600486755371,5.640664577484131,-0.3271826207637787
1788594189762828500,0.59482861328125,7.522731304168701,5.669693946838379,-0.26560676097869873
1788594189772905700,0.60490576171875,7.620070457458496,5.7392754554748535,-0.23238719999790192
1788594189782981600,0.614981689453125,7.955183982849121,5.798158168792725,-0.2858826518058777
1788594189793057000,0.62505712890625,8.188918113708496,5.835118293762207,-0.33675941824913025
1788594189803107300,0.635107421875,8.223633766174316,5.7923970222473145,-0.37416884303092957
1788594189813208800,0.645208740234375,8.115595817565918,5.699920654296875,-0.35748425126075745
1788594189823284200,0.6552841796875,7.936778545379639,5.633631229400635,-0.36908116936683655
1788594189833337300,0.66533740234375,7.772850513458252,5.648744583129883,-0.40057986974716187
1788594189843432000,0.675431884765625,7.688978672027588,5.678372859954834,-0.4097077548503876
1788594189853507800,0.6855078125,7.645583629608154,5.730746269226074,-0.4412064850330353
1788594189863562800,0.695562744140625,7.609296798706055,5.7690534591674805,-0.4778676927089691
1788594189873664800,0.705664794921875,7.670348644256592,5.771522521972656,-0.45901334285736084
1788594189883727400,0.715727294921875,7.7655930519104,5.806687355041504,-0.4842272996902466
1788594189893812200,0.725812255859375,7.8203606605529785,5.809455394744873,-0.5214870572090149
1788594189903890700,0.735890625,7.820809364318848,5.754388809204102,-0.5014356374740601
1788594189913966600,0.745966552734375,7.782726764678955,5.717353820800781,-0.5169979333877563
1788594189924042500,0.75604248046875,7.7661919593811035,5.6897454261779785,-0.5123591423034668
1788594189934118400,0.766118408203125,7.810110569000244,5.706056118011475,-0.452279657125473
1788594189944179700,0.7761796875,7.851634979248047,5.749151706695557,-0.44502225518226624
1788594189954244000,0.786244140625,7.825448036193848,5.766808986663818,-0.40783730149269104
1788594189964353800,0.796353759765625,7.90123987197876,5.73209285736084,-0.3414730131626129
1788594189974435600,0.806435546875,8.122179985046387,5.740098476409912,-0.3506008982658386
1788594189984502800,0.816502685546875,8.222137451171875,5.780126571655273,-0.39137715101242065
1788594189994548200,0.82654833984375,8.229394912719727,5.768155574798584,-0.3783586919307709
1788594190004646400,0.836646484375,8.15300464630127,5.772495269775391,-0.3553893268108368
1788594190014712800,0.846712890625,7.979275703430176,5.790900707244873,-0.3461117744445801
1788594190024774700,0.856774658203125,7.775020599365234,5.780575752258301,-0.35015198588371277
1788594190034851000,0.86685107421875,7.599645137786865,5.7369561195373535,-0.356885701417923
1788594190044926500,0.876926513671875,7.581613540649414,5.699097633361816,-0.4322282373905182
1788594190055002400,0.88700244140625,7.7230963706970215,5.7264814376831055,-0.5413140654563904
1788594190065078000,0.897078125,7.760804653167725,5.761571407318115,-0.6105214357376099
1788594190075153700,0.907153564453125,7.778162956237793,5.794267177581787,-0.6796540021896362
1788594190085255700,0.917255615234375,7.822530269622803,5.800252914428711,-0.6523451209068298
1788594190095332000,0.92733203125,7.81721830368042,5.7813239097595215,-0.5745335817337036
1788594190105381000,0.937381103515625,7.838167667388916,5.758130073547363,-0.4661211371421814
1788594190115478800,0.947478759765625,7.93019437789917,5.7608232498168945,-0.45572131872177124
1788594190125555500,0.957555419921875,7.93939733505249,5.7718963623046875,-0.5153518915176392
1788594190135624200,0.967624267578125,7.951443195343018,5.738677024841309,-0.5442319512367249
1788594190145684200,0.977684326171875,7.995810508728027,5.726780891418457,-0.5205892324447632
1788594190155780900,0.98778076171875,8.025289535522461,5.759326934814453,-0.5563526153564453
1788594190165835000,0.9978349609375,8.039579391479492,5.760673522949219,-0.5779004096984863
1788594190175932700,1.0079326171875,8.056563377380371,5.7556610107421875,-0.5526865124702454
1788594190186010400,1.01801025390625,8.07122802734375,5.7387518882751465,-0.5122095346450806
1788594190196087800,1.028087890625,7.963862895965576,5.747655391693115,-0.458040714263916
1788594190206160400,1.038160400390625,7.699902534484863,5.767856121063232,-0.39960724115371704
1788594190216236500,1.048236572265625,7.377732753753662,5.7567830085754395,-0.3256114423274994
1788594190226311400,1.0583115234375,7.285555839538574,5.780351161956787,-0.33346739411354065
1788594190236387000,1.068386962890625,7.51083517074585,5.835118293762207,-0.3770119547843933
1788594190246463200,1.078463134765625,7.899593830108643,5.901407718658447,-0.4462193548679352
1788594190256541400,1.08854150390625,7.976133346557617,5.873575210571289,-0.3958662748336792
1788594190266614500,1.098614501953125,7.821632385253906,5.794940948486328,-0.318054735660553
1788594190276673800,1.108673828125,7.575927734375,5.725957870483398,-0.32104748487472534
1788594190286765800,1.118765869140625,7.66653299331665,5.688623428344727,-0.43020811676979065
1788594190296849400,1.128849365234375,8.096965789794922,5.732691287994385,-0.5582230687141418
1788594190306917600,1.138917724609375,8.397064208984375,5.777657508850098,-0.7190834879875183
1788594190316993300,1.1489931640625,8.3992338180542,5.770699501037598,-0.7668927311897278
1788594190327069000,1.15906884765625,8.118438720703125,5.654580593109131,-0.6852654218673706
1788594190337128200,1.169128173828125,7.667057037353516,5.567266941070557,-0.615833580493927
1788594190347220700,1.179220703125,7.351545810699463,5.581632137298584,-0.6168810129165649
1788594190357296600,1.189296630859375,7.354014873504639,5.680168628692627,-0.7262661457061768
1788594190367372000,1.1993720703125,7.591489791870117,5.808333396911621,-0.8625859618186951
1788594190377448000,1.209447998046875,7.801207065582275,5.869086265563965,-0.9132382869720459
1788594190387524900,1.21952490234375,7.870938301086426,5.822548866271973,-0.8743325471878052
1788594190397600000,1.22960009765625,7.8314337730407715,5.707327842712402,-0.7971943616867065
1788594190407666000,1.239666015625,7.86233377456665,5.599588871002197,-0.721477746963501
1788594190417751300,1.249751220703125,8.011298179626465,5.646574974060059,-0.7641992568969727
1788594190427828200,1.259828125,8.09778881072998,5.746084213256836,-0.7735515832901001
1788594190437902800,1.26990283203125,8.010475158691406,5.775487899780273,-0.7467664480209351
1788594190447978500,1.279978515625,7.949273586273193,5.7125654220581055,-0.6358101963996887
1788594190458054400,1.290054443359375,7.949572563171387,5.711069107055664,-0.5761796236038208
1788594190468108300,1.3001083984375,7.912387847900391,5.739500045776367,-0.5686977505683899
1788594190478206000,1.3102060546875,8.073921203613281,5.742268085479736,-0.5167734622955322
1788594190488281300,1.32028125,8.211587905883789,5.724611282348633,-0.47322893142700195
1788594190498336500,1.33033642578125,8.289250373840332,5.701866149902344,-0.4198082983493805
1788594190508433200,1.34043310546875,8.23351001739502,5.679869651794434,-0.36833298206329346
1788594190518508800,1.3505087890625,8.231639862060547,5.907243728637695,-0.45429977774620056
1788594190528585500,1.36058544921875,8.204180717468262,5.8167877197265625,-0.30780455470085144
1788594190538664400,1.37066455078125,8.03232192993164,5.777882099151611,-0.06262333691120148
1788594190548741400,1.380741455078125,7.884929180145264,5.739799499511719,-0.20193594694137573
1788594190558814000,1.39081396484375,7.7177839279174805,5.660641193389893,-0.026186581701040268
1788594190568887800,1.4008876953125,7.627702236175537,5.683385848999023,-0.09733926504850388
1788594190578964000,1.4109638671875,7.560290336608887,5.726706027984619,-0.16048632562160492
1788594190589039400,1.421039306640625,7.492504596710205,5.810503005981445,-0.24338556826114655
1788594190599115000,1.431114990234375,7.68538761138916,5.808333396911621,-0.3802291452884674
1788594190609190700,1.441190673828125,8.151658058166504,5.807360649108887,-0.3330933153629303
1788594190619266300,1.451266357421875,8.465971946716309,5.873650074005127,-0.2240823209285736
1788594190629345000,1.461344970703125,8.450484275817871,5.878288745880127,-0.20133739709854126
1788594190639418400,1.47141845703125,8.272939682006836,5.740472793579102,-0.021098902449011803
1788594190649480000,1.48147998046875,8.050652503967285,5.668497085571289,0.11671733111143112
1788594190659571200,1.4915712890625,7.980772018432617,5.6455278396606445,0.07429507374763489
1788594190669648000,1.50164794921875,7.8553009033203125,5.648595333099365,0.07242459803819656
1788594190679726600,1.5117265625,7.757737159729004,5.721543312072754,-0.003217208432033658
1788594190689799400,1.52179931640625,7.675586223602295,5.8052659034729,-0.08132804185152054
